31 Mar 15:46:06,500 [main] ERROR elementIdentification.usingID  - **********Initializing Test case************
31 Mar 15:46:44,878 [main] INFO  elementIdentification.usingID  - Chrome Browser is launched
07 Apr 13:58:24,122 [main] DEBUG configReader.log4jConfigReader  - Log4j appender configuration is successful !!
07 Apr 14:15:44,376 [main] INFO  Naukri  - Launched Naukri website
07 Apr 14:16:22,167 [main] INFO  seleniumHQ  - Launched seleniumHQ website
07 Apr 14:29:53,495 [main] INFO  Naukri  - Launched Naukri website
07 Apr 14:30:29,890 [main] INFO  seleniumHQ  - Launched seleniumHQ website
07 Apr 14:36:39,118 [main] INFO  Naukri  - Launched Naukri website
07 Apr 14:37:15,235 [main] INFO  seleniumHQ  - Launched seleniumHQ website
07 Apr 14:38:47,023 [main] INFO  Naukri  - Launched Naukri website
07 Apr 14:39:22,720 [main] INFO  seleniumHQ  - Launched seleniumHQ website
07 Apr 14:41:11,604 [main] INFO  Naukri  - Launched Naukri website
07 Apr 14:41:48,860 [main] INFO  seleniumHQ  - Launched seleniumHQ website
13 Apr 15:21:47,872 [main] INFO  Selenium  - Log4J properties is initialised
13 Apr 15:21:47,875 [main] INFO  Selenium  - Properties files is initialised
13 Apr 15:21:52,246 [main] INFO  Selenium  - Chrome Driver is launched
13 Apr 15:23:57,417 [main] INFO  Selenium  - Log4J properties is initialised
13 Apr 15:23:57,420 [main] INFO  Selenium  - Properties files is initialised
13 Apr 15:24:01,793 [main] INFO  Selenium  - Chrome Driver is launched
13 Apr 15:24:01,794 [main] INFO  Selenium  - Environment selected: test
13 Apr 15:24:01,794 [main] INFO  Selenium  - URL selected: http://naukri.com
13 Apr 15:25:15,158 [main] INFO  Selenium  - Log4J properties is initialised
13 Apr 15:25:15,162 [main] INFO  Selenium  - Properties files is initialised
13 Apr 15:25:21,919 [main] INFO  Selenium  - IE browser is launched
13 Apr 15:25:21,919 [main] INFO  Selenium  - Environment selected: test
13 Apr 15:25:21,919 [main] INFO  Selenium  - URL selected: http://naukri.com
13 Apr 15:26:26,967 [main] INFO  Selenium  - Log4J properties is initialised
13 Apr 15:26:26,971 [main] INFO  Selenium  - Properties files is initialised
13 Apr 15:26:29,388 [main] INFO  Selenium  - IE browser is launched
13 Apr 15:26:29,388 [main] INFO  Selenium  - Environment selected: test
13 Apr 15:26:29,389 [main] INFO  Selenium  - URL selected: http://naukri.com
13 Apr 15:26:57,379 [main] INFO  Selenium  - Test annotation
13 Apr 15:30:22,573 [main] INFO  Selenium  - Log4J properties is initialised
13 Apr 15:30:22,576 [main] INFO  Selenium  - Properties files is initialised
13 Apr 15:30:25,011 [main] INFO  Selenium  - IE browser is launched
13 Apr 15:30:25,011 [main] INFO  Selenium  - Environment selected: test
13 Apr 15:30:25,011 [main] INFO  Selenium  - URL selected: http://naukri.com
13 Apr 15:30:31,252 [main] INFO  Selenium  - URL selected: http://www.seleniumhq.org
13 Apr 15:30:43,960 [main] INFO  Selenium  - title of page Selenium - Web Browser Automation
21 Apr 14:14:33,542 [main] INFO  testBase.domainObjects  - Log4J properties is initialised
21 Apr 14:14:38,602 [main] INFO  testBase.domainObjects  - Chrome Driver is launched
21 Apr 14:14:58,269 [main] INFO  testBase.domainObjects  - Log4J properties is initialised
21 Apr 14:15:02,609 [main] INFO  testBase.domainObjects  - Chrome Driver is launched
21 Apr 14:15:02,625 [main] INFO  testBase.domainObjects  - URL selected: http://www.seleniumhq.org
21 Apr 14:28:47,380 [main] INFO  initializelog4J  - Log4J properties is initialised
21 Apr 14:28:47,383 [main] INFO  Reading properties files  - browser selected in properties file: chrome
21 Apr 14:28:51,582 [main] INFO  launchBrowser  - Chrome Driver is launched
21 Apr 14:28:51,595 [main] INFO  testCase1  - URL selected: http://www.seleniumhq.org
21 Apr 14:31:59,055 [main] INFO  TestBase  - Log4J properties is initialised
21 Apr 14:31:59,058 [main] INFO  TestBase  - browser selected in properties file: chrome
21 Apr 14:32:03,088 [main] INFO  TestBase  - Chrome Driver is launched
21 Apr 14:32:03,104 [main] INFO  testCase1  - URL selected: http://www.seleniumhq.org
21 Apr 14:44:12,155 [main] INFO  Annotations  - @BeforeSuite Annotation
21 Apr 14:44:12,158 [main] INFO  Annotations  - @BeforeTest Annotation
21 Apr 14:44:12,163 [main] INFO  Annotations  - @BeforeClass Annotation
21 Apr 14:44:12,167 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:44:12,182 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:44:12,182 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:44:12,184 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:44:12,184 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:44:12,185 [main] INFO  Annotations  - Test Annotation
21 Apr 14:44:12,185 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:44:12,186 [main] INFO  Annotations  - @AfterClass Annotation
21 Apr 14:44:12,187 [main] INFO  Annotations  - @AfterTest Annotation
21 Apr 14:44:12,209 [main] INFO  Annotations  - @AfterSuite Annotation
21 Apr 14:46:00,369 [main] INFO  Annotations  - @BeforeSuite Annotation
21 Apr 14:46:00,372 [main] INFO  Annotations  - @BeforeTest Annotation
21 Apr 14:46:00,378 [main] INFO  Annotations  - @BeforeClass Annotation
21 Apr 14:46:00,381 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:46:00,394 [main] INFO  Annotations  - @Test Annotation Test case 1
21 Apr 14:46:00,395 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:46:00,396 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:46:00,397 [main] INFO  Annotations  - @Test Annotation Test case 2
21 Apr 14:46:00,398 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:46:00,399 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:46:00,400 [main] INFO  Annotations  - Test Annotation
21 Apr 14:46:00,401 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:46:00,401 [main] INFO  Annotations  - @AfterClass Annotation
21 Apr 14:46:00,403 [main] INFO  Annotations  - @AfterTest Annotation
21 Apr 14:46:00,422 [main] INFO  Annotations  - @AfterSuite Annotation
21 Apr 14:52:27,287 [main] INFO  Annotations  - @BeforeSuite Annotation
21 Apr 14:52:27,292 [main] INFO  Annotations  - @BeforeTest Annotation
21 Apr 14:52:27,299 [main] INFO  Annotations  - @BeforeClass Annotation
21 Apr 14:52:27,303 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:52:27,320 [main] INFO  Annotations  - @Test Annotation Test case 1
21 Apr 14:52:27,321 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:52:27,321 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:52:27,322 [main] INFO  Annotations  - @Test Annotation Test case 2
21 Apr 14:52:27,324 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:52:27,325 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:52:27,327 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:52:27,327 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:52:27,328 [main] INFO  Annotations  - Test Annotation
21 Apr 14:52:27,330 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:52:27,331 [main] INFO  Annotations  - @AfterClass Annotation
21 Apr 14:52:27,336 [main] INFO  Annotations  - @AfterTest Annotation
21 Apr 14:52:27,356 [main] INFO  Annotations  - @AfterSuite Annotation
21 Apr 14:55:22,068 [main] INFO  Annotations  - @BeforeSuite Annotation
21 Apr 14:55:22,071 [main] INFO  Annotations  - @BeforeTest Annotation
21 Apr 14:55:22,077 [main] INFO  Annotations  - @BeforeClass Annotation
21 Apr 14:55:22,079 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:55:22,092 [main] INFO  Annotations  - @Test Annotation Test case 1
21 Apr 14:55:22,093 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:55:22,094 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:55:22,095 [main] INFO  Annotations  - @Test Annotation Test case 2
21 Apr 14:55:22,095 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:55:22,096 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:55:22,098 [main] INFO  Annotations  - @Test Annotation This is test case 3
21 Apr 14:55:22,100 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:55:22,101 [main] INFO  Annotations  - @BeforeMethod Annotation
21 Apr 14:55:22,102 [main] INFO  Annotations  - Test Annotation
21 Apr 14:55:22,103 [main] INFO  Annotations  - @AfterMethod Annotation
21 Apr 14:55:22,104 [main] INFO  Annotations  - @AfterClass Annotation
21 Apr 14:55:22,108 [main] INFO  Annotations  - @AfterTest Annotation
21 Apr 14:55:22,130 [main] INFO  Annotations  - @AfterSuite Annotation
21 Apr 14:59:18,039 [main] INFO  TestBase  - Log4J properties is initialised
21 Apr 14:59:18,042 [main] INFO  TestBase  - browser selected in properties file: chrome
21 Apr 14:59:22,199 [main] INFO  TestBase  - Chrome Driver is launched
21 Apr 14:59:22,219 [main] INFO  testCase1  - URL selected: http://www.seleniumhq.org
21 Apr 15:00:25,237 [main] INFO  TestBase  - Log4J properties is initialised
21 Apr 15:00:25,241 [main] INFO  TestBase  - browser selected in properties file: chrome
21 Apr 15:00:29,373 [main] INFO  TestBase  - Chrome Driver is launched
21 Apr 15:00:29,390 [main] INFO  testCase1  - URL selected: http://www.seleniumhq.org
21 Apr 15:01:03,346 [main] INFO  testCase1  - URL selected: http://www.google.com
27 Apr 14:00:29,203 [main] INFO  java.lang.Class  - Log4J properties is initialised
27 Apr 14:00:29,245 [main] INFO  java.lang.Class  - browser selected in properties file: chrome
27 Apr 14:00:34,935 [main] INFO  java.lang.Class  - Chrome Driver is launched
27 Apr 14:00:34,971 [main] INFO  testCase1  - URL selected: http://www.seleniumhq.org
27 Apr 14:01:04,315 [main] INFO  testCase2  - URL selected: http://www.google.com
27 Apr 14:01:05,538 [main] INFO  testCase2  - Browser closed
27 Apr 14:02:10,639 [main] INFO  TestBase  - Log4J properties is initialised
